Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
ebony-reed-blazer,Ebony Reed Blazer,"<p>Acknowledging the dark, textured blazer in the natural reed-filled setting.</p>",Firebase App Hosting,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,"",Winter Essentials,true,Size,s,product.metafields.shopify.size,,,,,,,"",907.18474,shopify,200,continue,manual,123.99,,true,true,"",https://cdn.shopify.com/s/files/1/0633/7576/9673/files/repSt1PHBhC.webp?v=1732143112,1,"",false,,,,,,,,,,,,,,adults,black,s; l; m,long,unisex,,,,,,,lb,,,true,,,true,,,active
ebony-reed-blazer,,,,,,,,,l,,,,,,,,"",907.18474,shopify,199,continue,manual,123.99,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
ebony-reed-blazer,,,,,,,,,m,,,,,,,,"",907.18474,shopify,200,continue,manual,123.99,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
amber-sunset-blazer-set,Amber Sunset Blazer Set,<p>Drawing from the warm orange blazer paired with a complementary ivory outfit.</p>,Firebase App Hosting,Apparel & Accessories > Clothing > Outfit Sets,"",Winter Essentials,true,Size,s,product.metafields.shopify.size,,,,,,,"",907.18474,shopify,199,continue,manual,123.99,,true,true,"",https://cdn.shopify.com/s/files/1/0633/7576/9673/files/Ta25G2YC-Ot.webp?v=1732143017,1,"",false,,,,,,,,,,,,,,adults,orange,s; m,,unisex,,,,,,,lb,,,true,,,true,,,active
amber-sunset-blazer-set,,,,,,,,,m,,,,,,,,"",907.18474,shopify,200,continue,manual,123.99,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
ivory-meadow-blazer,Ivory Meadow Blazer,<p>Inspired by the serene outdoor setting and the ivory-tone jacket.</p>,Firebase App Hosting,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,"",Winter Essentials,true,Size,m,product.metafields.shopify.size,,,,,,,"",0.0,shopify,200,deny,manual,123.99,,true,true,"",https://cdn.shopify.com/s/files/1/0633/7576/9673/files/3w_lFXHucGR.webp?v=1732142753,1,"",false,,,,,,,,,,,,,,adults,beige,m; l; xl; s,long,unisex,,,,,,,lb,,,true,,,true,,,active
ivory-meadow-blazer,,,,,,,,,l,,,,,,,,"",0.0,shopify,199,deny,manual,123.99,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
ivory-meadow-blazer,,,,,,,,,xl,,,,,,,,"",0.0,shopify,200,deny,manual,123.99,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
ivory-meadow-blazer,,,,,,,,,s,,,,,,,,"",0.0,shopify,200,deny,manual,123.99,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
classic-ivory-tailored-suit,Classic Ivory Tailored Suit,"<p>Highlighting the clean, classic design of the ivory suit in a minimalist background.</p>",Firebase App Hosting,Apparel & Accessories > Clothing > Suits > Pant Suits,"",Winter Essentials,true,Size,m,product.metafields.shopify.size,Color,beige,product.metafields.shopify.color-pattern,,,,"",453.59237,shopify,198,continue,manual,123.99,,true,true,"",https://cdn.shopify.com/s/files/1/0633/7576/9673/files/jLFmUSY2yWQ.webp?v=1732142536,1,"",false,,,,,,,,,,,,,,adults,beige,m,,unisex,mid,,,,,,lb,,,true,,,true,,,active
short-sleeve-t-shirt,Short sleeve t-shirt,"<p><meta charset=""utf-8""><meta charset=""utf-8"">Discover effortless comfort with our basic short sleeve t-shirt, crafted from 100% soft, breathable cotton. Perfect for everyday wear, this tee is lightweight and durable, offering a relaxed fit that pairs seamlessly with jeans, shorts, or layered under your favorite jacket. Simple yet stylish, it’s a wardrobe essential that balances quality and comfort—ideal for any casual look.<br></p>",Firebase App Hosting,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Size,s,product.metafields.shopify.size,Color,black,product.metafields.shopify.color-pattern,,,,"",0.0,shopify,10,deny,manual,45.00,,true,true,"",https://cdn.shopify.com/s/files/1/0633/7576/9673/files/T-shirt_design_2023.webp?v=1728509395,1,"",false,,,,,,,,,,,,,,,black; blue,s; m; l; xl,,,,,,,,,lb,,,true,,,true,,,active
short-sleeve-t-shirt,,,,,,,,,s,,,blue,,,,,,0.0,shopify,10,deny,manual,45.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
short-sleeve-t-shirt,,,,,,,,,m,,,black,,,,,"",0.0,shopify,10,deny,manual,45.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
short-sleeve-t-shirt,,,,,,,,,m,,,blue,,,,,,0.0,shopify,10,deny,manual,45.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
short-sleeve-t-shirt,,,,,,,,,l,,,black,,,,,"",0.0,shopify,10,deny,manual,45.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
short-sleeve-t-shirt,,,,,,,,,l,,,blue,,,,,,0.0,shopify,9,deny,manual,45.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
short-sleeve-t-shirt,,,,,,,,,xl,,,black,,,,,"",0.0,shopify,9,deny,manual,45.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
short-sleeve-t-shirt,,,,,,,,,xl,,,blue,,,,,,0.0,shopify,10,deny,manual,45.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
